id,platform,kind,source_page,source_asset_url,download_url,path,title,width,height,format,bytes,sha256,retrieved,modifications,recommended_for_initial_site,public_use_status,review_flags,placement_guidance
iphone-10,iPhone,screenshot,https://apps.apple.com/in/app/dicom-camera/id6459410698,https://is1-ssl.mzstatic.com/image/thumb/PurpleSource221/v4/a2/21/c4/a221c422-5c2e-0f52-6b61-2cadabf7f22c/Apple_iPhone_11_Pro_Subscribe_copy.png/320x480bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/PurpleSource221/v4/a2/21/c4/a221c422-5c2e-0f52-6b61-2cadabf7f22c/Apple_iPhone_11_Pro_Subscribe_copy.png/1200x2600bb.png,assets/apple/iphone-10-subscription.png,Subscription,1197,2600,PNG,702226,05f904a9614c319e485bec7e58ef665bcb4972bea621edb8b061d0588ebc2538,2026-09-22,None; CDN resolution variant requested where noted by differing source and download URLs,False,exclude,Promotional composition includes existing device frame and headline; inspect before crop or placement | Exclude from public site: legacy subscription/settings and Photo Album copy option enabled,See review flags and selection guidance in ASSETS.md
ipad-01,iPad,screenshot,https://apps.apple.com/in/app/dicom-camera/id6459410698,https://is1-ssl.mzstatic.com/image/thumb/PurpleSource221/v4/90/7d/f4/907df425-ed54-4cd4-d70d-a9ee1eae73d9/3da168b3-e12c-4f54-b0ef-a0501d851951_Apple_iPad_Pro_13_Inch_Screenshot_4.png/576x768bb.png,https://is1-ssl.mzstatic.com/image/thumb/PurpleSource221/v4/90/7d/f4/907df425-ed54-4cd4-d70d-a9ee1eae73d9/3da168b3-e12c-4f54-b0ef-a0501d851951_Apple_iPad_Pro_13_Inch_Screenshot_4.png/1600x2200bb.png,assets/apple/ipad-01.png,iPad screenshot 1,1600,2134,PNG,381800,a930e3a1675206977dd64a96f21ac3223c76c51b75fe54ff8dd614cbaa020bd9,2026-09-22,None; CDN resolution variant requested where noted by differing source and download URLs,False,usable-with-guide,Promotional composition includes existing device frame and headline; inspect before crop or placement,See review flags and selection guidance in ASSETS.md
ipad-02,iPad,screenshot,https://apps.apple.com/in/app/dicom-camera/id6459410698,https://is1-ssl.mzstatic.com/image/thumb/PurpleSource221/v4/14/f3/73/14f3738a-76e6-4549-fe22-d3cfc7080761/f5375461-f830-4d48-abd0-a138f4447e5f_Apple_iPad_Pro_13_Inch_Screenshot_3.png/576x768bb.png,https://is1-ssl.mzstatic.com/image/thumb/PurpleSource221/v4/14/f3/73/14f3738a-76e6-4549-fe22-d3cfc7080761/f5375461-f830-4d48-abd0-a138f4447e5f_Apple_iPad_Pro_13_Inch_Screenshot_3.png/1600x2200bb.png,assets/apple/ipad-02.png,iPad screenshot 2,1600,2134,PNG,554313,646b2f3af4902ec9a614b3761f2654f2a8552070571f7a13d38345e80340ab49,2026-09-22,None; CDN resolution variant requested where noted by differing source and download URLs,False,exclude,Promotional composition includes existing device frame and headline; inspect before crop or placement | Exclude from public site: legacy subscription/pricing/version material,See review flags and selection guidance in ASSETS.md
ipad-03,iPad,screenshot,https://apps.apple.com/in/app/dicom-camera/id6459410698,https://is1-ssl.mzstatic.com/image/thumb/PurpleSource221/v4/d1/8e/87/d18e87a1-b61c-50d3-e35a-d6a8e18c019a/b555e5d0-6b04-4861-8414-0bcd0b89a12c_Apple_iPad_Pro_13_Inch_Screenshot_1.png/576x768bb.png,https://is1-ssl.mzstatic.com/image/thumb/PurpleSource221/v4/d1/8e/87/d18e87a1-b61c-50d3-e35a-d6a8e18c019a/b555e5d0-6b04-4861-8414-0bcd0b89a12c_Apple_iPad_Pro_13_Inch_Screenshot_1.png/1600x2200bb.png,assets/apple/ipad-03.png,iPad screenshot 3,1600,2134,PNG,302420,2667e7a52c50a6347004e948932f171b33c009572ea20ba3b61d469e1d3c43a0,2026-09-22,None; CDN resolution variant requested where noted by differing source and download URLs,True,usable-with-guide,Promotional composition includes existing device frame and headline; inspect before crop or placement | Crop legacy diagnostic promotional headline without altering actual UI,See recommended placement and text alternatives in ASSETS.md
ipad-04,iPad,screenshot,https://apps.apple.com/in/app/dicom-camera/id6459410698,https://is1-ssl.mzstatic.com/image/thumb/PurpleSource211/v4/3f/c6/97/3fc697f5-8dc4-0c96-dfe5-513edbac0163/31af7235-96fe-4ffa-a734-8aa7ac6b5b64_Apple_iPad_Pro_13_Inch_Screenshot_7.png/576x768bb.png,https://is1-ssl.mzstatic.com/image/thumb/PurpleSource211/v4/3f/c6/97/3fc697f5-8dc4-0c96-dfe5-513edbac0163/31af7235-96fe-4ffa-a734-8aa7ac6b5b64_Apple_iPad_Pro_13_Inch_Screenshot_7.png/1600x2200bb.png,assets/apple/ipad-04.png,iPad screenshot 4,1600,2134,PNG,370998,864262c7923dd32f6b7c3e75bd8bd2d6e33de5be7a962fc371f217e343dfb3f1,2026-09-22,None; CDN resolution variant requested where noted by differing source and download URLs,True,usable-with-guide,Promotional composition includes existing device frame and headline; inspect before crop or placement,See recommended placement and text alternatives in ASSETS.md
ipad-05,iPad,screenshot,https://apps.apple.com/in/app/dicom-camera/id6459410698,https://is1-ssl.mzstatic.com/image/thumb/PurpleSource211/v4/2c/6f/b8/2c6fb8eb-b10d-5c9f-9f4d-de746fe484ea/783c6716-539b-4757-a60b-ff7ba9a2c0d0_Apple_iPad_Pro_13_Inch_Screenshot_6.png/576x768bb.png,https://is1-ssl.mzstatic.com/image/thumb/PurpleSource211/v4/2c/6f/b8/2c6fb8eb-b10d-5c9f-9f4d-de746fe484ea/783c6716-539b-4757-a60b-ff7ba9a2c0d0_Apple_iPad_Pro_13_Inch_Screenshot_6.png/1600x2200bb.png,assets/apple/ipad-05.png,iPad screenshot 5,1600,2134,PNG,1835974,f8486944eccd5c4f874d479aff415abe8f7b56f1ca308737f1de3420198d8ec2,2026-09-22,None; CDN resolution variant requested where noted by differing source and download URLs,False,review-required,Promotional composition includes existing device frame and headline; inspect before crop or placement | Apparent patient/study identifiers and/or clinical imagery; reference-only pending specific clearance,See review flags and selection guidance in ASSETS.md
ipad-06,iPad,screenshot,https://apps.apple.com/in/app/dicom-camera/id6459410698,https://is1-ssl.mzstatic.com/image/thumb/PurpleSource221/v4/f4/69/aa/f469aa42-8801-a462-0e3c-01fa5b14cd08/d0098ff8-b5b2-475f-b5fe-a0d32c6def1f_Apple_iPad_Pro_13_Inch_Screenshot_5.png/576x768bb.png,https://is1-ssl.mzstatic.com/image/thumb/PurpleSource221/v4/f4/69/aa/f469aa42-8801-a462-0e3c-01fa5b14cd08/d0098ff8-b5b2-475f-b5fe-a0d32c6def1f_Apple_iPad_Pro_13_Inch_Screenshot_5.png/1600x2200bb.png,assets/apple/ipad-06.png,iPad screenshot 6,1600,2134,PNG,421216,7077be86c5befde8fe818612b8abeb91c8e98d75ae814578389a3e3fb173ea34,2026-09-22,None; CDN resolution variant requested where noted by differing source and download URLs,False,review-required,Promotional composition includes existing device frame and headline; inspect before crop or placement | Apparent patient/study identifiers and/or clinical imagery; reference-only pending specific clearance,See review flags and selection guidance in ASSETS.md
ipad-07,iPad,screenshot,https://apps.apple.com/in/app/dicom-camera/id6459410698,https://is1-ssl.mzstatic.com/image/thumb/PurpleSource211/v4/f8/11/87/f81187ed-9977-5d19-4e50-b963d3c832fe/76c5d8a5-8963-41df-adf1-f647906b8bbf_Apple_iPad_Pro_13_Inch_Screenshot_2.png/576x768bb.png,https://is1-ssl.mzstatic.com/image/thumb/PurpleSource211/v4/f8/11/87/f81187ed-9977-5d19-4e50-b963d3c832fe/76c5d8a5-8963-41df-adf1-f647906b8bbf_Apple_iPad_Pro_13_Inch_Screenshot_2.png/1600x2200bb.png,assets/apple/ipad-07.png,iPad screenshot 7,1600,2134,PNG,437783,b22e62a2bd424e067a96de72ccbf115965c5525ba5b00b595cd68ca08739446a,2026-09-22,None; CDN resolution variant requested where noted by differing source and download URLs,False,review-required,Promotional composition includes existing device frame and headline; inspect before crop or placement | Configuration addresses/settings visible; avoid prominent use and retention-default claims,See review flags and selection guidance in ASSETS.md
android-icon,Android,app-icon,https://play.google.com/store/apps/details?id=com.raster.dicomcamera,https://play-lh.googleusercontent.com/Ixsp6D2EkuDc2lsoumlwnk7aXRPGQ-VuJPnXKfRsKO2eo5TIpUTohjVLmMlxNG7T1ZSISA96xpyUD9cvQ0aY=w240-h480,https://play-lh.googleusercontent.com/Ixsp6D2EkuDc2lsoumlwnk7aXRPGQ-VuJPnXKfRsKO2eo5TIpUTohjVLmMlxNG7T1ZSISA96xpyUD9cvQ0aY=s0,assets/google-play/dicom-camera-app-icon.png,DICOM Camera Android app icon,512,512,PNG,66575,ab1098985b19749cdeea3d092d82e079acc86eaaee17f958d48df265d238468b,2026-09-22,None; CDN resolution variant requested where noted by differing source and download URLs,True,usable-with-guide,,See recommended placement and text alternatives in ASSETS.md
android-01,Android,screenshot,https://play.google.com/store/apps/details?id=com.raster.dicomcamera,https://play-lh.googleusercontent.com/2Tw123HXXrFKuBGdc5pjgE1qf8sLT45jqkxNuvjxItrnikuCGqq7HH3-SiQ_VSIHp5OZ9KnjBMbbuorfA2VL=w526-h296,https://play-lh.googleusercontent.com/2Tw123HXXrFKuBGdc5pjgE1qf8sLT45jqkxNuvjxItrnikuCGqq7HH3-SiQ_VSIHp5OZ9KnjBMbbuorfA2VL=s0,assets/google-play/android-01.png,Android screenshot 1,1620,2880,PNG,1059844,644193a619c24401204aea879a9fdc87e8c8c7bc9d809d949e963701c091aeb3,2026-09-22,None; CDN resolution variant requested where noted by differing source and download URLs,False,review-required,Promotional composition includes existing device frame and headline; inspect before crop or placement | Apparent patient/study identifiers and/or clinical imagery; reference-only pending specific clearance,See review flags and selection guidance in ASSETS.md
android-02,Android,screenshot,https://play.google.com/store/apps/details?id=com.raster.dicomcamera,https://play-lh.googleusercontent.com/7CQirxlbK_LuF2pAELgBK09t2eqNF41zBxQzUmf5bZ8v56gmNSTt1jG2ic-BHT4Z2MfkQEKeQyIjVosVb_mzHA=w526-h296,https://play-lh.googleusercontent.com/7CQirxlbK_LuF2pAELgBK09t2eqNF41zBxQzUmf5bZ8v56gmNSTt1jG2ic-BHT4Z2MfkQEKeQyIjVosVb_mzHA=s0,assets/google-play/android-02.png,Android screenshot 2,1620,2880,PNG,924496,41f34afd14a4f5f5cdd58fb1fc20e0e394f5a37cd875e104367399b3ff6a7738,2026-09-22,None; CDN resolution variant requested where noted by differing source and download URLs,False,usable-with-guide,Promotional composition includes existing device frame and headline; inspect before crop or placement,See review flags and selection guidance in ASSETS.md
android-03,Android,screenshot,https://play.google.com/store/apps/details?id=com.raster.dicomcamera,https://play-lh.googleusercontent.com/rQbWDwBi8PgR22gVUJjsC2nlcJfNTW10RKnxN_vtqmo766FoiMsNvahqtptlswEUR40hQRSFwn6ka00HZY0Q6zc=w526-h296,https://play-lh.googleusercontent.com/rQbWDwBi8PgR22gVUJjsC2nlcJfNTW10RKnxN_vtqmo766FoiMsNvahqtptlswEUR40hQRSFwn6ka00HZY0Q6zc=s0,assets/google-play/android-03.png,Android screenshot 3,1620,2880,PNG,1191293,de2fa6d6edc7438cddbf5b7652c318d3b98f4fd2c823863769e1a473206cdb9d,2026-09-22,None; CDN resolution variant requested where noted by differing source and download URLs,False,review-required,Promotional composition includes existing device frame and headline; inspect before crop or placement | Apparent patient/study identifiers and/or clinical imagery; reference-only pending specific clearance,See review flags and selection guidance in ASSETS.md
android-04,Android,screenshot,https://play.google.com/store/apps/details?id=com.raster.dicomcamera,https://play-lh.googleusercontent.com/0fpnjDxeVuP8uLd58_B3uROMdpFcU1s_XwY3cUNkVC6IhXKQPFG4Yb_bD6grF3QeDKmsedtZT4vy5iNN5Zneq0U=w526-h296,https://play-lh.googleusercontent.com/0fpnjDxeVuP8uLd58_B3uROMdpFcU1s_XwY3cUNkVC6IhXKQPFG4Yb_bD6grF3QeDKmsedtZT4vy5iNN5Zneq0U=s0,assets/google-play/android-04.png,Android screenshot 4,1620,2880,PNG,1034613,fd7ac70fff95b3dc7dbfd916acee9fd2896b7e5da1973d78aa97f5b72637ad84,2026-09-22,None; CDN resolution variant requested where noted by differing source and download URLs,False,usable-with-guide,Promotional composition includes existing device frame and headline; inspect before crop or placement | Crop legacy diagnostic promotional headline without altering actual UI,See review flags and selection guidance in ASSETS.md
android-05,Android,screenshot,https://play.google.com/store/apps/details?id=com.raster.dicomcamera,https://play-lh.googleusercontent.com/ihh2XaOGFNCf3BBLpwbOsVAWdJMn1psSAvg3P9TQ-mVFc56-WYkT2XlDUVHdd7iwQkkNznwgDakt1JZzu_JL=w526-h296,https://play-lh.googleusercontent.com/ihh2XaOGFNCf3BBLpwbOsVAWdJMn1psSAvg3P9TQ-mVFc56-WYkT2XlDUVHdd7iwQkkNznwgDakt1JZzu_JL=s0,assets/google-play/android-05.png,Android screenshot 5,1620,2880,PNG,2228333,74f43c3489dd88067384722726172a7807312443066f06036adde2a8a9624bea,2026-09-22,None; CDN resolution variant requested where noted by differing source and download URLs,False,review-required,Promotional composition includes existing device frame and headline; inspect before crop or placement | Apparent patient/study identifiers and/or clinical imagery; reference-only pending specific clearance,See review flags and selection guidance in ASSETS.md
android-06,Android,screenshot,https://play.google.com/store/apps/details?id=com.raster.dicomcamera,https://play-lh.googleusercontent.com/x1x40P1RPugTvGaL6eE_VB3y27BAK7WuS6sGZQ-huHZg1kPjsgDl9DM81DnQSxaiToYxd9R9H83gbeY5l2bTPvY=w526-h296,https://play-lh.googleusercontent.com/x1x40P1RPugTvGaL6eE_VB3y27BAK7WuS6sGZQ-huHZg1kPjsgDl9DM81DnQSxaiToYxd9R9H83gbeY5l2bTPvY=s0,assets/google-play/android-06.png,Android screenshot 6,1620,2880,PNG,1133563,882eb4a30b02db045c12c251f30c0a433259bdec4f2071c9777bc259c7d59db6,2026-09-22,None; CDN resolution variant requested where noted by differing source and download URLs,False,review-required,Promotional composition includes existing device frame and headline; inspect before crop or placement | Apparent patient/study identifiers and/or clinical imagery; reference-only pending specific clearance,See review flags and selection guidance in ASSETS.md
android-07,Android,screenshot,https://play.google.com/store/apps/details?id=com.raster.dicomcamera,https://play-lh.googleusercontent.com/gUyCLlwd7N3_LfsNsYLGXnrBuba5tjQWOiMuaB0XXNUJyX6tvghdCro5Cm6pWvu2tfTcNMbf6HsNAG8BclKimw=w526-h296,https://play-lh.googleusercontent.com/gUyCLlwd7N3_LfsNsYLGXnrBuba5tjQWOiMuaB0XXNUJyX6tvghdCro5Cm6pWvu2tfTcNMbf6HsNAG8BclKimw=s0,assets/google-play/android-07.png,Android screenshot 7,1620,2880,PNG,2047371,2c995f2431f165b9d1f2b86b5c0236a5b059022100c799998b9ae2b8078f440d,2026-09-22,None; CDN resolution variant requested where noted by differing source and download URLs,False,review-required,Promotional composition includes existing device frame and headline; inspect before crop or placement | Apparent patient/study identifiers and/or clinical imagery; reference-only pending specific clearance,See review flags and selection guidance in ASSETS.md
android-08,Android,screenshot,https://play.google.com/store/apps/details?id=com.raster.dicomcamera,https://play-lh.googleusercontent.com/eUTgG-OyWmZFTSyEsu2FP7gCZoD186eQTEJghXzlcUWDhgFmO2rWoA0gtLzQBLkvWYmjcptEdFglyXLjQNiXig=w526-h296,https://play-lh.googleusercontent.com/eUTgG-OyWmZFTSyEsu2FP7gCZoD186eQTEJghXzlcUWDhgFmO2rWoA0gtLzQBLkvWYmjcptEdFglyXLjQNiXig=s0,assets/google-play/android-08.png,Android screenshot 8,1620,2880,PNG,1001352,939b4ff6e7a03001249f59f46783e08569ce81d4c810ee799889575c97f1119b,2026-09-22,None; CDN resolution variant requested where noted by differing source and download URLs,True,usable-with-guide,Promotional composition includes existing device frame and headline; inspect before crop or placement,See recommended placement and text alternatives in ASSETS.md
android-09,Android,screenshot,https://play.google.com/store/apps/details?id=com.raster.dicomcamera,https://play-lh.googleusercontent.com/NksyhaRjaCDmdMaYYAXZpstDxGdpo_hsuRaFNmyvYpel7TGIfvQ7z1K9uEG11SLHE_QYzHzW1cp7kxQcTD8rgw=w526-h296,https://play-lh.googleusercontent.com/NksyhaRjaCDmdMaYYAXZpstDxGdpo_hsuRaFNmyvYpel7TGIfvQ7z1K9uEG11SLHE_QYzHzW1cp7kxQcTD8rgw=s0,assets/google-play/android-09.png,Android screenshot 9,1620,2880,PNG,1310485,0e8aee38860624b6e4fecb5e28259f8b39935837eb5790c81c7d11a54ad9cba3,2026-09-22,None; CDN resolution variant requested where noted by differing source and download URLs,False,review-required,Promotional composition includes existing device frame and headline; inspect before crop or placement | Apparent patient/study identifiers and/or clinical imagery; reference-only pending specific clearance,See review flags and selection guidance in ASSETS.md
android-10,Android,screenshot,https://play.google.com/store/apps/details?id=com.raster.dicomcamera,https://play-lh.googleusercontent.com/uGiq5s2IYh4stBL_hEY_tnqboOMjs99INJnqql8VrS0x-z687Q9bPmpIQi57LUMYPrCYIzrzcDZV9-C8uTpn=w526-h296,https://play-lh.googleusercontent.com/uGiq5s2IYh4stBL_hEY_tnqboOMjs99INJnqql8VrS0x-z687Q9bPmpIQi57LUMYPrCYIzrzcDZV9-C8uTpn=s0,assets/google-play/android-10.png,Android screenshot 10,1620,2880,PNG,991861,1cf32fd45199b70b6ae57e1538a7608fd1a4534545989a88a3ce1c2a8f5acf19,2026-09-22,None; CDN resolution variant requested where noted by differing source and download URLs,True,usable-with-guide,Promotional composition includes existing device frame and headline; inspect before crop or placement | Crop legacy diagnostic promotional headline without altering actual UI,See recommended placement and text alternatives in ASSETS.md
app-store-badge,App Store,official-store-badge,https://developer.apple.com/app-store/marketing/guidelines/,https://developer.apple.com/assets/elements/badges/download-on-the-app-store.svg,https://developer.apple.com/assets/elements/badges/download-on-the-app-store.svg,assets/badges/download-on-the-app-store.svg,App Store download badge,119.66407,40,SVG,10804,a26fc5b38380272c92e9019a2eb8b45542a66814b3e2b203772db8904b9fb99f,2026-09-22,None,True,usable-with-guide,,See recommended placement and text alternatives in ASSETS.md
google-play-badge,Google Play,official-store-badge,https://partnermarketinghub.withgoogle.com/brands/google-play/google-play/lockups-icons-badges/,https://play.google.com/intl/en_us/badges/static/images/badges/en_badge_web_generic.png,https://play.google.com/intl/en_us/badges/static/images/badges/en_badge_web_generic.png,assets/badges/get-it-on-google-play.png,Google Play download badge,646,250,PNG,4904,f72611e2df8e88204009fd896d05d5e8e83c77009c63943bbffa169559934849,2026-09-22,None,True,usable-with-guide,,See recommended placement and text alternatives in ASSETS.md
